I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk
@_,0HD6.L,Alphabet Inc.,Communication Services,Internet Content & Information,1.67,176.00 - 177.09,178.13 - 179.89,2.13 - 3.89,178.65,203.84,70740,3,1.014
@_,0HLE.L,Banco Santander  S.A.,Financial Services,Banks Diversified,8.00,8.25 - 8.25,8.89 - 8.89,0.64 - 0.64,8.42,387.84,2900,1,1.289
@_,0R1O.L,UNKNOWN,UNKNOWN,UNKNOWN,4.00,218.65 - 219.99,223.92 - 224.41,5.27 - 5.76,224.21,213.18,UNKNOWN,0,1.334
@_,0R2V.L,Apple Inc.,Technology,Consumer Electronics,1.00,182.59 - 211.76,212.85 - 215.74,30.26 - 33.15,210.78,997.57,798957,5,1.211
@_,0RIH.L,Alphabet Inc.,Communication Services,Internet Content & Information,0.80,147.78 - 176.89,177.63 - 178.85,29.85 - 31.07,177.63,1302.79,220019,4,1.014
@_,1SN.L,First Tin Plc,Basic Materials,Other Industrial Metals & Mining,0.00,5.50 - 5.58,5.70 - 5.89,0.20 - 0.39,5.70,613.24,206968,4,1.208
@_,3IN.L,3i Infrastructure plc,UNKNOWN,UNKNOWN,6.00,338.00 - 338.00,344.00 - 344.00,6.00 - 6.00,342.50,84.00,UNKNOWN,0,UNKNOWN
@_,4BB.L,4basebio PLC,Healthcare,Biotechnology,0.25,960.00 - 1000.00,985.00 - 1039.20,25.00 - 79.20,1000.00,771.00,523,1,1.03
@_,4GBL.L,4GLOBAL plc,Technology,Software Application,0.33,5.60 - 8.51,7.00 - 29.40,1.40 - 23.80,22.50,22130.74,66739,3,-0.384
@_,80M.L,80 Mile Plc,Basic Materials,Other Industrial Metals & Mining,2.00,0.23 - 0.23,0.28 - 0.28,0.05 - 0.05,0.26,1071.55,20541535,8,0.971
@_,88E.L,88 Energy Limited,Energy,Oil & Gas E&P,0.25,1.08 - 1.12,1.12 - 1.15,0.04 - 0.07,1.12,1319.40,487894,4,1.14
