Ticker,Date,Signal,Price,Invested,Shares,Avg Price,Profit
0HD6.L,2025-07-02 16:00:00.000,Buy,177.09,4958.52,28,177.09,
0HD6.L,2025-07-07 13:00:00.000,Sell,179.89,4958.52,28,177.09,78.40
0HD6.L,2025-07-09 13:00:00.000,Buy,176.00,4928.00,28,176.00,
0HD6.L,2025-07-09 15:00:00.000,Sell,178.13,4928.00,28,176.00,59.64
0HD6.L,2025-07-10 14:00:00.000,Buy,176.15,4932.17,28,176.15,
0HD6.L,2025-07-11 15:00:00.000,Sell,178.50,4932.17,28,176.15,65.80
0HLE.L,2025-07-01 16:00:00.000,Buy,8.25,4999.50,606,8.25,
0HLE.L,2025-07-10 08:00:00.000,Sell,8.89,4999.50,606,8.25,387.84
0R1O.L,2025-07-01 13:00:00.000,Buy,218.65,4810.30,22,218.65,
0R1O.L,2025-07-08 10:00:00.000,Sell,224.41,4810.30,22,218.65,126.72
0R1O.L,2025-07-09 08:00:00.000,Buy,219.99,4839.78,22,219.99,
0R1O.L,2025-07-11 14:00:00.000,Sell,223.92,4839.78,22,219.99,86.46
0R2V.L,2025-07-02 12:00:00.000,Buy,210.00,4830.00,23,210.00,
0R2V.L,2025-07-03 15:00:00.000,Sell,213.87,4830.00,23,210.00,89.01
0R2V.L,2025-07-04 13:00:00.000,Buy,182.59,4930.05,27,182.59,
0R2V.L,2025-07-07 08:00:00.000,Sell,212.85,4930.05,27,182.59,817.02
0R2V.L,2025-07-07 09:00:00.000,Buy,211.76,4870.48,23,211.76,
0R2V.L,2025-07-07 15:00:00.000,Sell,215.74,4870.48,23,211.76,91.54
0R2V.L,2025-07-08 08:00:00.000,Buy,210.30,4836.90,23,210.30,
0RIH.L,2025-07-02 12:00:00.000,Buy,175.21,4905.88,28,175.21,
0RIH.L,2025-07-03 11:00:00.000,Sell,178.20,4905.88,28,175.21,83.72
0RIH.L,2025-07-04 13:00:00.000,Buy,147.78,4876.86,33,147.78,
0RIH.L,2025-07-07 13:00:00.000,Sell,178.85,4876.86,33,147.78,1025.31
0RIH.L,2025-07-07 15:00:00.000,Buy,176.89,4952.94,28,176.89,
0RIH.L,2025-07-07 16:00:00.000,Sell,178.81,4952.94,28,176.89,53.76
0RIH.L,2025-07-09 13:00:00.000,Buy,175.27,4907.56,28,175.27,
0RIH.L,2025-07-09 16:00:00.000,Sell,177.94,4907.56,28,175.27,74.76
0RIH.L,2025-07-10 15:00:00.000,Buy,175.30,4908.40,28,175.30,
0RIH.L,2025-07-11 16:00:00.000,Sell,177.63,4908.40,28,175.30,65.24
1SN.L,2025-07-03 09:00:00.000,Buy,5.53,4994.60,904,5.53,
1SN.L,2025-07-03 10:00:00.000,Sell,5.70,4994.60,904,5.53,153.68
1SN.L,2025-07-04 08:00:00.000,Buy,5.58,4999.68,896,5.58,
1SN.L,2025-07-04 11:00:00.000,Sell,5.89,4999.68,896,5.58,277.76
1SN.L,2025-07-08 08:00:00.000,Buy,5.50,4999.50,909,5.50,
1SN.L,2025-07-08 13:00:00.000,Sell,5.70,4999.50,909,5.50,181.80
1SN.L,2025-07-08 14:00:00.000,Buy,5.60,4995.20,892,5.60,
3IN.L,2025-07-04 08:00:00.000,Buy,338.00,4732.00,14,338.00,
3IN.L,2025-07-10 08:00:00.000,Sell,344.00,4732.00,14,338.00,84.00
4BB.L,2025-07-04 08:00:00.000,Buy,960.00,4800.00,5,960.00,
4BB.L,2025-07-04 15:00:00.000,Sell,985.00,4800.00,5,960.00,125.00
4BB.L,2025-07-08 08:00:00.000,Buy,960.00,4800.00,5,960.00,
4BB.L,2025-07-08 09:00:00.000,Sell,1005.00,4800.00,5,960.00,225.00
4BB.L,2025-07-08 10:00:00.000,Buy,960.00,4800.00,5,960.00,
4BB.L,2025-07-10 09:00:00.000,Sell,1005.00,4800.00,5,960.00,225.00
4BB.L,2025-07-10 14:00:00.000,Buy,1000.00,5000.00,5,1000.00,
4BB.L,2025-07-11 11:00:00.000,Sell,1039.20,5000.00,5,1000.00,196.00
4BB.L,2025-07-11 15:00:00.000,Buy,1000.00,5000.00,5,1000.00,
4GBL.L,2025-06-30 15:00:00.000,Buy,8.51,4995.37,587,8.51,
4GBL.L,2025-07-01 08:00:00.000,Sell,9.13,4995.37,587,8.51,363.94
4GBL.L,2025-07-02 11:00:00.000,Buy,6.32,4996.75,790,6.32,
4GBL.L,2025-07-02 14:00:00.000,Sell,7.00,4996.75,790,6.32,537.20
4GBL.L,2025-07-03 08:00:00.000,Buy,5.60,4995.20,892,5.60,
4GBL.L,2025-07-04 09:00:00.000,Sell,29.40,4995.20,892,5.60,21229.60
80M.L,2025-07-08 13:00:00.000,Buy,0.23,4999.85,21431,0.23,
80M.L,2025-07-11 10:00:00.000,Sell,0.28,4999.85,21431,0.23,1071.55
88E.L,2025-07-03 09:00:00.000,Buy,1.12,4999.68,4464,1.12,
88E.L,2025-07-03 16:00:00.000,Sell,1.15,4999.68,4464,1.12,133.92
88E.L,2025-07-04 13:00:00.000,Buy,1.10,4999.50,4545,1.10,
88E.L,2025-07-04 15:00:00.000,Sell,1.14,4999.50,4545,1.10,181.80
