Ticker,Date,Signal,Price,Invested,Shares,Avg Price,Profit
0HD6.L,2025-07-09 12:00:00.000,Buy,175.83,4923.24,28,175.83,
0HD6.L,2025-07-14 15:00:00.000,Sell,184.21,4923.24,28,175.83,234.64
0HD6.L,2025-07-15 08:00:00.000,Buy,183.03,4941.81,27,183.03,
0HD6.L,2025-07-16 14:00:00.000,Sell,184.96,4941.81,27,183.03,52.11
0HLE.L,2025-07-08 14:00:00.000,Buy,8.63,4999.38,579,8.63,
0HLE.L,2025-07-09 12:00:00.000,Sell,8.80,4999.38,579,8.63,98.43
0HLE.L,2025-07-15 14:00:00.000,Buy,8.28,4993.26,603,8.28,
0HLE.L,2025-07-16 14:00:00.000,Sell,8.38,4993.26,603,8.28,60.30
0R1O.L,2025-07-09 09:00:00.000,Buy,219.99,4839.74,22,219.99,
0R1O.L,2025-07-09 16:00:00.000,Sell,222.36,4839.74,22,219.99,52.14
0R1O.L,2025-07-10 16:00:00.000,Buy,221.43,4871.46,22,221.43,
0R1O.L,2025-07-11 16:00:00.000,Sell,224.21,4871.46,22,221.43,61.16
0R1O.L,2025-07-14 10:00:00.000,Buy,224.14,4931.04,22,224.14,
0R1O.L,2025-07-15 14:00:00.000,Sell,226.76,4931.04,22,224.14,57.64
0R2V.L,2025-07-09 15:00:00.000,Buy,207.66,4983.84,24,207.66,
0R2V.L,2025-07-10 15:00:00.000,Sell,212.20,4983.84,24,207.66,108.96
0R2V.L,2025-07-11 08:00:00.000,Buy,211.07,4854.61,23,211.07,
0RIH.L,2025-07-08 16:00:00.000,Buy,173.07,4846.10,28,173.07,
0RIH.L,2025-07-09 14:00:00.000,Sell,176.94,4846.10,28,173.07,108.36
0RIH.L,2025-07-10 10:00:00.000,Buy,176.40,4939.20,28,176.40,
0RIH.L,2025-07-14 15:00:00.000,Sell,183.45,4939.20,28,176.40,197.40
0RIH.L,2025-07-15 08:00:00.000,Buy,181.74,4906.98,27,181.74,
0RIH.L,2025-07-16 15:00:00.000,Sell,183.74,4906.98,27,181.74,54.00
1SN.L,2025-07-08 12:00:00.000,Buy,5.55,4995.00,900,5.55,
1SN.L,2025-07-11 08:00:00.000,Sell,5.90,4995.00,900,5.55,315.00
1SN.L,2025-07-15 08:00:00.000,Buy,5.50,4999.50,909,5.50,
1SN.L,2025-07-16 08:00:00.000,Sell,5.62,4999.50,909,5.50,109.08
1SN.L,2025-07-17 08:00:00.000,Buy,5.50,4999.50,909,5.50,
1SN.L,2025-07-17 10:00:00.000,Sell,5.89,4999.50,909,5.50,354.51
3IN.L,2025-07-08 13:00:00.000,Buy,337.60,4726.43,14,337.60,
3IN.L,2025-07-09 16:00:00.000,Sell,341.50,4726.43,14,337.60,54.60
3IN.L,2025-07-10 10:00:00.000,Buy,340.76,4770.64,14,340.76,
3IN.L,2025-07-11 09:00:00.000,Sell,346.24,4770.64,14,340.76,76.72
3IN.L,2025-07-11 15:00:00.000,Buy,342.64,4796.96,14,342.64,
3IN.L,2025-07-15 13:00:00.000,Sell,352.12,4796.96,14,342.64,132.72
3IN.L,2025-07-15 16:00:00.000,Buy,347.00,4858.00,14,347.00,
47IE.L,2025-07-17 14:00:00.000,Buy,33.00,4983.00,151,33.00,
47IE.L,2025-07-17 15:00:00.000,Sell,65.00,4983.00,151,33.00,4832.00
4BB.L,2025-07-08 10:00:00.000,Buy,960.00,4800.00,5,960.00,
4BB.L,2025-07-10 09:00:00.000,Sell,1005.00,4800.00,5,960.00,225.00
4BB.L,2025-07-10 14:00:00.000,Buy,1000.00,5000.00,5,1000.00,
4BB.L,2025-07-11 11:00:00.000,Sell,1039.20,5000.00,5,1000.00,196.00
4BB.L,2025-07-11 15:00:00.000,Buy,1000.00,5000.00,5,1000.00,
4BB.L,2025-07-16 09:00:00.000,Sell,1110.00,5000.00,5,1000.00,550.00
4BB.L,2025-07-16 12:00:00.000,Buy,1000.00,5000.00,5,1000.00,
4BB.L,2025-07-16 13:00:00.000,Sell,1020.00,5000.00,5,1000.00,100.00
80M.L,2025-07-08 13:00:00.000,Buy,0.23,4999.85,21431,0.23,
80M.L,2025-07-11 10:00:00.000,Sell,0.28,4999.85,21431,0.23,1071.55
