

2025-07-25 19:45:40.675512
Ticker,Date,Signal,Price,Invested,Shares,Avg Price,Profit
0HD6.L,2025-07-17 16:00:00.000,Buy,182.14,4917.78,27,182.14,
0HD6.L,2025-07-22 12:00:00.000,Sell,192.80,4917.78,27,182.14,287.82
0HD6.L,2025-07-22 16:00:00.000,Buy,190.77,4960.02,26,190.77,
0HD6.L,2025-07-24 13:00:00.000,Sell,198.95,4960.02,26,190.77,212.68
0HLE.L,2025-07-15 14:00:00.000,Buy,8.28,4993.26,603,8.28,
0HLE.L,2025-07-17 12:00:00.000,Sell,8.45,4993.26,603,8.28,102.51
0HLE.L,2025-07-21 12:00:00.000,Buy,8.41,4995.54,594,8.41,
0HLE.L,2025-07-21 15:00:00.000,Sell,8.54,4995.54,594,8.41,77.22
0HLE.L,2025-07-22 14:00:00.000,Buy,8.45,4993.95,591,8.45,
0HLE.L,2025-07-24 14:00:00.000,Sell,8.91,4993.95,591,8.45,271.86
0HLE.L,2025-07-24 16:00:00.000,Buy,8.93,4991.87,559,8.93,
0R1O.L,2025-07-16 12:00:00.000,Buy,225.09,4951.98,22,225.09,
0R1O.L,2025-07-22 12:00:00.000,Sell,230.25,4951.98,22,225.09,113.52
0R1O.L,2025-07-22 16:00:00.000,Buy,226.97,4993.31,22,226.97,
0R1O.L,2025-07-24 08:00:00.000,Sell,229.39,4993.31,22,226.97,53.24
0R1O.L,2025-07-24 11:00:00.000,Buy,229.60,4821.60,21,229.60,
0R1O.L,2025-07-24 16:00:00.000,Sell,233.25,4821.60,21,229.60,76.65
0R2V.L,2025-07-15 12:00:00.000,Buy,208.95,4805.85,23,208.95,
0R2V.L,2025-07-21 08:00:00.000,Sell,211.63,4805.85,23,208.95,61.64
0R2V.L,2025-07-21 09:00:00.000,Buy,211.76,4870.48,23,211.76,
0R2V.L,2025-07-23 12:00:00.000,Sell,215.00,4870.48,23,211.76,74.52
0R2V.L,2025-07-23 16:00:00.000,Buy,213.09,4901.07,23,213.09,
0R2V.L,2025-07-24 16:00:00.000,Sell,215.27,4901.07,23,213.09,50.14
0RIH.L,2025-07-17 16:00:00.000,Buy,181.21,4892.67,27,181.21,
0RIH.L,2025-07-22 12:00:00.000,Sell,191.74,4892.67,27,181.21,284.31
0RIH.L,2025-07-22 14:00:00.000,Buy,188.74,4907.24,26,188.74,
0RIH.L,2025-07-23 08:00:00.000,Sell,192.20,4907.24,26,188.74,89.96
0RIH.L,2025-07-23 15:00:00.000,Buy,189.63,4930.34,26,189.63,
0RIH.L,2025-07-24 10:00:00.000,Sell,196.91,4930.34,26,189.63,189.28
1SN.L,2025-07-15 08:00:00.000,Buy,5.50,4999.50,909,5.50,
1SN.L,2025-07-15 09:00:00.000,Sell,5.70,4999.50,909,5.50,181.80
1SN.L,2025-07-15 14:00:00.000,Buy,5.45,4997.65,917,5.45,
1SN.L,2025-07-16 08:00:00.000,Sell,5.62,4997.65,917,5.45,155.89
1SN.L,2025-07-17 08:00:00.000,Buy,5.50,4999.50,909,5.50,
1SN.L,2025-07-17 16:00:00.000,Sell,5.70,4999.50,909,5.50,181.80
1SN.L,2025-07-18 08:00:00.000,Buy,5.50,4999.50,909,5.50,
1SN.L,2025-07-18 11:00:00.000,Sell,5.70,4999.50,909,5.50,181.80
1SN.L,2025-07-21 14:00:00.000,Buy,5.50,4996.72,908,5.50,
1SN.L,2025-07-22 11:00:00.000,Sell,5.60,4996.72,908,5.50,90.80
1SN.L,2025-07-22 14:00:00.000,Buy,5.55,4995.00,900,5.55,
3IN.L,2025-07-17 11:00:00.000,Buy,343.50,4809.00,14,343.50,
3IN.L,2025-07-22 10:00:00.000,Sell,349.56,4809.00,14,343.50,84.84
3IN.L,2025-07-24 09:00:00.000,Buy,344.50,4823.00,14,344.50,
3IN.L,2025-07-24 15:00:00.000,Sell,349.50,4823.00,14,344.50,70.00
4BB.L,2025-07-14 10:00:00.000,Buy,960.00,4800.00,5,960.00,
4BB.L,2025-07-16 09:00:00.000,Sell,1110.00,4800.00,5,960.00,750.00
