Ticker,Date,Signal,Price,Invested,Shares,Avg Price,Profit
0ABM.L,2025-07-25 08:00:00.000,Buy,21.70,4991.00,230,21.70,
0ABM.L,2025-07-30 08:00:00.000,Sell,22.30,4991.00,230,21.70,138.00
0HD6.L,2025-07-23 16:00:00.000,Buy,191.44,4977.44,26,191.44,
0HD6.L,2025-07-24 14:00:00.000,Sell,198.57,4977.44,26,191.44,185.38
0HD6.L,2025-07-24 16:00:00.000,Buy,194.89,4872.25,25,194.89,
0HD6.L,2025-07-31 13:00:00.000,Sell,197.34,4872.25,25,194.89,61.25
0HD6.L,2025-08-01 11:00:00.000,Buy,188.59,4903.34,26,188.59,
0HD6.L,2025-08-01 14:00:00.000,Sell,191.45,4903.34,26,188.59,74.36
0HLE.L,2025-07-23 16:00:00.000,Buy,8.66,4997.34,577,8.66,
0HLE.L,2025-07-28 12:00:00.000,Sell,8.97,4997.34,577,8.66,178.87
0HLE.L,2025-07-28 16:00:00.000,Buy,8.80,4998.00,568,8.80,
0HLE.L,2025-07-29 14:00:00.000,Sell,8.94,4998.00,568,8.80,79.52
0HLE.L,2025-07-31 14:00:00.000,Buy,8.64,4993.92,578,8.64,
0R1O.L,2025-07-23 13:00:00.000,Buy,228.40,4796.40,21,228.40,
0R1O.L,2025-07-28 13:00:00.000,Sell,233.66,4796.40,21,228.40,110.46
0R1O.L,2025-07-30 09:00:00.000,Buy,231.19,4854.99,21,231.19,
0R1O.L,2025-07-31 09:00:00.000,Sell,237.80,4854.99,21,231.19,138.81
0R1O.L,2025-08-01 11:00:00.000,Buy,215.42,4954.73,23,215.42,
0R1O.L,2025-08-01 15:00:00.000,Sell,217.92,4954.73,23,215.42,57.50
0R2V.L,2025-07-23 15:00:00.000,Buy,212.68,4891.62,23,212.68,
0R2V.L,2025-07-24 16:00:00.000,Sell,215.27,4891.62,23,212.68,59.57
0R2V.L,2025-07-25 14:00:00.000,Buy,214.08,4923.84,23,214.08,
0RIH.L,2025-07-23 15:00:00.000,Buy,189.63,4930.34,26,189.63,
0RIH.L,2025-07-24 12:00:00.000,Sell,196.85,4930.34,26,189.63,187.72
0RIH.L,2025-07-25 11:00:00.000,Buy,192.59,4814.70,25,192.59,
0RIH.L,2025-07-31 08:00:00.000,Sell,196.44,4814.70,25,192.59,96.25
0RIH.L,2025-07-31 15:00:00.000,Buy,191.88,4988.88,26,191.88,
0RIH.L,2025-07-31 16:00:00.000,Sell,194.12,4988.88,26,191.88,58.24
1SN.L,2025-07-23 14:00:00.000,Buy,5.34,4998.24,936,5.34,
1SN.L,2025-07-28 09:00:00.000,Sell,5.85,4998.24,936,5.34,477.36
1SN.L,2025-07-28 11:00:00.000,Buy,5.62,4995.00,888,5.62,
1SN.L,2025-07-30 09:00:00.000,Sell,6.05,4995.00,888,5.62,381.84
1SN.L,2025-08-01 10:00:00.000,Buy,5.76,4995.34,868,5.76,
1SN.L,2025-08-01 16:00:00.000,Sell,5.85,4995.34,868,5.76,78.12
3IN.L,2025-07-24 08:00:00.000,Buy,342.50,4795.00,14,342.50,
3IN.L,2025-07-24 16:00:00.000,Sell,352.00,4795.00,14,342.50,133.00
3IN.L,2025-07-25 09:00:00.000,Buy,351.01,4914.20,14,351.01,
3IN.L,2025-07-28 13:00:00.000,Sell,355.78,4914.20,14,351.01,66.78
3IN.L,2025-07-30 10:00:00.000,Buy,349.17,4888.43,14,349.17,
3IN.L,2025-08-01 15:00:00.000,Sell,353.80,4888.43,14,349.17,64.82
450.L,2025-07-29 11:00:00.000,Buy,2.00,5000.00,2500,2.00,
450.L,2025-07-29 13:00:00.000,Sell,2.10,5000.00,2500,2.00,250.00
4BB.L,2025-07-21 10:00:00.000,Buy,955.00,4775.00,5,955.00,
4BB.L,2025-07-24 08:00:00.000,Sell,1000.00,4775.00,5,955.00,225.00
4BB.L,2025-07-24 15:00:00.000,Buy,970.00,4850.00,5,970.00,
4BB.L,2025-07-31 08:00:00.000,Sell,1000.00,4850.00,5,970.00,150.00
4BB.L,2025-07-31 10:00:00.000,Buy,941.00,4705.00,5,941.00,
4BB.L,2025-08-01 08:00:00.000,Sell,990.00,4705.00,5,941.00,245.00
80M.L,2025-07-24 10:00:00.000,Buy,0.24,4999.97,20576,0.24,
80M.L,2025-07-24 14:00:00.000,Sell,0.26,4999.97,20576,0.24,411.52
80M.L,2025-07-28 08:00:00.000,Buy,0.24,4999.96,20661,0.24,
80M.L,2025-07-28 13:00:00.000,Sell,0.26,4999.96,20661,0.24,413.22
80M.L,2025-07-28 15:00:00.000,Buy,0.24,4999.79,20746,0.24,
80M.L,2025-07-28 16:00:00.000,Sell,0.25,4999.79,20746,0.24,207.46
80M.L,2025-07-29 10:00:00.000,Buy,0.24,4999.92,20833,0.24,
80M.L,2025-07-29 12:00:00.000,Sell,0.25,4999.92,20833,0.24,208.33
80M.L,2025-07-31 08:00:00.000,Buy,0.24,4999.97,20576,0.24,
80M.L,2025-07-31 09:00:00.000,Sell,0.26,4999.97,20576,0.24,411.52
80M.L,2025-07-31 13:00:00.000,Buy,0.24,4999.78,20449,0.24,
88E.L,2025-07-23 10:00:00.000,Buy,1.11,4999.12,4520,1.11,
88E.L,2025-07-28 10:00:00.000,Sell,1.14,4999.12,4520,1.11,135.60
88E.L,2025-07-28 16:00:00.000,Buy,1.12,4999.50,4444,1.12,
88E.L,2025-07-29 08:00:00.000,Sell,1.15,4999.50,4444,1.12,133.32
88E.L,2025-07-29 09:00:00.000,Buy,1.12,4999.66,4484,1.12,
88E.L,2025-07-30 08:00:00.000,Sell,1.15,4999.66,4484,1.12,134.52
88E.L,2025-07-30 09:00:00.000,Buy,1.12,4999.68,4480,1.12,
88E.L,2025-07-31 11:00:00.000,Sell,1.15,4999.68,4480,1.12,134.40
88E.L,2025-07-31 12:00:00.000,Buy,1.12,4999.68,4480,1.12,
88E.L,2025-07-31 13:00:00.000,Sell,1.15,4999.68,4480,1.12,134.40
88E.L,2025-07-31 16:00:00.000,Buy,1.12,4999.50,4444,1.12,
88E.L,2025-08-01 08:00:00.000,Sell,1.20,4999.50,4444,1.12,355.52
88E.L,2025-08-01 14:00:00.000,Buy,1.11,4999.50,4500,1.11,
88E.L,2025-08-01 16:00:00.000,Sell,1.15,4999.50,4500,1.11,180.00
AAF.L,2025-07-23 12:00:00.000,Buy,181.91,4911.46,27,181.91,
AAF.L,2025-07-24 09:00:00.000,Sell,198.30,4911.46,27,181.91,442.53
AAF.L,2025-07-24 11:00:00.000,Buy,193.80,4845.00,25,193.80,
AAF.L,2025-07-24 16:00:00.000,Sell,196.41,4845.00,25,193.80,65.25
AAF.L,2025-07-25 11:00:00.000,Buy,193.80,4845.00,25,193.80,
AAF.L,2025-07-29 10:00:00.000,Sell,199.40,4845.00,25,193.80,140.00
AAF.L,2025-07-30 08:00:00.000,Buy,197.20,4930.00,25,197.20,
AAF.L,2025-07-31 10:00:00.000,Sell,202.80,4930.00,25,197.20,140.00
AAF.L,2025-07-31 13:00:00.000,Buy,202.80,4867.20,24,202.80,
AAF.L,2025-08-01 09:00:00.000,Sell,205.40,4867.20,24,202.80,62.40
AAIF.L,2025-07-24 08:00:00.000,Buy,231.00,4851.00,21,231.00,
AAIF.L,2025-07-24 09:00:00.000,Sell,233.75,4851.00,21,231.00,57.75
AAIF.L,2025-07-25 08:00:00.000,Buy,231.22,4855.69,21,231.22,
AAIF.L,2025-07-28 11:00:00.000,Sell,237.58,4855.69,21,231.22,133.56
AAIF.L,2025-07-28 16:00:00.000,Buy,235.52,4946.00,21,235.52,
AAIF.L,2025-07-30 08:00:00.000,Sell,239.00,4946.00,21,235.52,73.08
