I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk,Complete Transactions
@_,0HD6.L,Alphabet Inc.,Communication Services,Internet Content & Information,1.20,194.84 - 202.78,197.57 - 206.04,2.73 - 11.20,206.72,345.56,70740,3,1.014,5
@_,0HLE.L,Banco Santander  S.A.,Financial Services,Banks Diversified,9.00,8.84 - 8.84,9.68 - 9.68,0.84 - 0.84,9.70,474.60,2021,1,1.297,1
@_,0R1O.L,UNKNOWN,Consumer Cyclical,Internet Retail,1.50,213.90 - 228.73,222.62 - 232.00,8.72 - 18.10,231.51,483.29,UNKNOWN,0,1.314,4
@_,0R2V.L,Apple Inc.,Technology,Consumer Electronics,8.00,203.81 - 203.81,234.29 - 234.29,30.48 - 30.48,232.30,731.52,463437,4,1.165,1
@_,0RIH.L,Alphabet Inc.,Communication Services,Internet Content & Information,0.75,195.05 - 201.74,197.75 - 205.64,2.70 - 10.59,205.67,344.25,179000,3,1.014,4
@_,1SN.L,First Tin Plc,Basic Materials,Other Industrial Metals & Mining,2.33,5.85 - 6.00,6.10 - 6.40,0.25 - 0.55,6.10,758.10,113485,3,1.199,3
*_,3IN.L,3i Infrastructure Ord,Financial Services,Asset Management,0.00,350.00 - 351.50,355.98 - 357.30,5.98 - 7.30,348.36,164.92,600541,5,UNKNOWN,2
@_,450.L,450 Plc,Financial Services,Asset Management,2.00,2.00 - 2.00,2.10 - 2.10,0.10 - 0.10,2.10,499.70,5837,1,-0.099,2
*_,4BB.L,4basebio PLC,Healthcare,Biotechnology,0.33,943.00 - 988.00,970.00 - 1000.00,27.00 - 57.00,900.00,480.00,2475,1,1.008,3
@_,80M.L,80 Mile Plc,Basic Materials,Other Industrial Metals & Mining,0.00,0.24 - 0.24,0.25 - 0.25,0.01 - 0.01,0.24,413.88,5259786,7,0.927,2
@_,88E.L,88 Energy Limited,Energy,Oil & Gas E&P,0.62,1.10 - 1.15,1.18 - 1.20,0.08 - 0.10,1.17,2139.96,359138,4,1.135,8
*_,AAF.L,Airtel Africa Plc,Communication Services,Telecom Services,1.25,209.40 - 219.20,211.60 - 221.99,2.20 - 12.59,218.00,386.83,3710765,6,0.664,4
@_,AAIF.L,Aberdeen Asian Income Fund Limited,Financial Services,Asset Management,2.00,234.00 - 236.00,237.10 - 240.00,3.10 - 6.00,236.00,219.24,293832,4,UNKNOWN,3
@_,AAL.L,Anglo American plc,Basic Materials,Other Industrial Metals & Mining,1.33,2123.00 - 2143.00,2166.00 - 2188.00,43.00 - 65.00,2168.00,250.10,4833236,6,0.921,3
@_,AAS.L,abrdn Asia Focus plc,Financial Services,Asset Management,5.00,343.25 - 343.25,348.00 - 348.00,4.75 - 4.75,348.17,66.50,240792,4,UNKNOWN,1
@_,AAU.L,Ariana Resources plc,Basic Materials,Gold,0.56,1.60 - 1.70,1.74 - 1.78,0.14 - 0.18,1.67,2106.36,3296255,6,0.575,9
@_,AAZ.L,Anglo Asian Mining PLC,Basic Materials,Gold,0.80,155.00 - 160.00,163.00 - 167.33,8.00 - 12.33,167.33,1030.27,33706,2,0.926,5
*_,ABDN.L,Aberdeen Group Plc,Financial Services,Asset Management,1.67,201.80 - 202.60,204.00 - 204.80,2.20 - 3.00,193.20,158.40,3103176,6,1.32,3
@_,ABDP.L,AB Dynamics plc,Consumer Cyclical,Auto Parts,1.00,1371.61 - 1434.48,1417.50 - 1455.00,45.89 - 83.39,1420.00,360.33,30434,2,0.151,5
*_,ABDX.L,Abingdon Health Plc,Healthcare,Diagnostics & Research,0.80,6.26 - 6.50,6.62 - 7.00,0.37 - 0.74,6.25,1580.72,209638,4,0.241,5
@_,ABF.L,Associated British Foods plc,Consumer Defensive,Packaged Foods,3.00,2204.00 - 2272.00,2276.00 - 2312.00,72.00 - 108.00,2278.00,224.00,893495,5,1.192,2
*_,ACG.L,ACG Metals Limited,Basic Materials,Other Industrial Metals & Mining,1.33,632.00 - 670.00,650.00 - 680.00,18.00 - 48.00,655.00,283.50,3065,1,-1.434,3
@_,ACRM.L,Acuity RM Group Plc Ord,Technology,Software Application,0.00,1.10 - 1.10,1.12 - 1.15,0.02 - 0.05,1.12,317.87,473626,4,UNKNOWN,2
*_,ACSO.L,accesso Technology Group plc,Technology,Software Application,0.33,433.00 - 434.00,439.00 - 443.00,6.00 - 10.00,415.00,220.00,122204,3,1.109,3
@_,ADF.L,Facilities by ADF plc,Consumer Cyclical,Recreational Vehicles,1.50,18.15 - 20.00,18.99 - 20.45,0.84 - 2.30,20.50,827.07,402421,4,0.404,4
*_,ADIG.L,abrdn Diversified Income & Growth Ord,Financial Services,Asset Management,0.75,48.50 - 48.76,49.12 - 49.30,0.62 - 0.80,48.25,257.29,264850,4,UNKNOWN,4
@_,ADM.L,Admiral Group plc,Financial Services,Insurance Property & Casualty,2.50,3348.00 - 3540.80,3594.00 - 3620.00,246.00 - 272.00,3554.00,325.20,630368,5,0.274,2
@_,ADT1.L,Adriatic Metals PLC,Basic Materials,Other Industrial Metals & Mining,0.40,288.00 - 293.00,293.00 - 297.50,5.00 - 9.50,297.50,411.40,166745,3,0.715,5
*_,ADVT.L,AdvancedAdvT Limited,Technology,Software Application,0.14,193.75 - 207.55,203.70 - 215.00,9.95 - 21.25,205.00,1641.75,237466,4,0.394,7
@_,AEG.L,Active Energy Group Plc,Industrials,Pollution & Treatment Controls,6.00,0.12 - 0.12,0.22 - 0.22,0.10 - 0.10,0.15,4273.50,56421352,9,0.639,1
@_,AEI.L,Aberdeen Equity Income Trust,Financial Services,Asset Management,0.75,361.86 - 367.49,366.16 - 372.00,4.30 - 10.14,369.86,229.32,103013,3,UNKNOWN,4
@_,AEO.L,Aeorema Communications plc,Communication Services,Entertainment,0.60,52.50 - 55.50,54.50 - 56.35,2.00 - 3.85,54.50,657.45,10597,2,0.561,5
@_,AEP.L,Anglo-Eastern Plantations Plc,Consumer Defensive,Farm Products,7.00,902.00 - 902.00,1165.00 - 1165.00,263.00 - 263.00,1125.00,1315.00,64401,3,0.371,1
*_,AET.L,Afentra plc,Energy,Oil & Gas E&P,0.67,46.30 - 47.60,47.20 - 48.20,0.90 - 1.90,45.97,298.40,426002,4,-0.138,3
*_,AEWU.L,AEW UK REIT Ord,Real Estate,REIT Diversified,2.00,106.00 - 106.00,107.20 - 107.20,1.20 - 1.20,105.00,56.40,256091,4,UNKNOWN,1
@_,AEX.L,Aminex PLC,Energy,Oil & Gas E&P,0.50,1.77 - 2.01,1.85 - 2.10,0.08 - 0.33,2.05,2149.90,4893420,6,-1.071,8
@_,AFC.L,AFC Energy plc,Industrials,Electrical Equipment & Parts,0.43,8.81 - 9.39,9.10 - 9.88,0.29 - 1.07,9.74,1035.68,8940700,7,3.531,7
*_,AFP.L,African Pioneer PLC,Basic Materials,Other Industrial Metals & Mining,1.67,0.91 - 0.96,1.00 - 1.02,0.09 - 0.12,0.90,1072.04,457342,4,0.582,3
*_,AFRN.L,Aferian Plc,Communication Services,Broadcasting,1.00,2.15 - 2.20,2.29 - 2.50,0.14 - 0.35,2.10,1234.30,466070,4,0.134,3
@_,AGL.L,ANGLE plc,Healthcare,Diagnostics & Research,0.50,5.00 - 5.30,5.27 - 6.00,0.27 - 1.00,5.50,1504.62,448211,4,0.116,4
*_,AGR.L,Assura Plc,Real Estate,REIT Healthcare Facilities,1.00,48.64 - 48.64,49.24 - 50.10,0.60 - 1.46,47.40,210.12,33465475,8,0.62,2
@_,AGT.L,AVI Global Trust Ord,Financial Services,Asset Management,1.50,256.47 - 258.18,261.50 - 262.00,5.03 - 5.53,260.25,168.15,478859,4,UNKNOWN,2
@_,AGVI.L,Aberforth Geared Value & Income Ord,Financial Services,Asset Management,2.00,81.50 - 81.50,83.00 - 83.00,1.50 - 1.50,81.50,91.50,104024,3,UNKNOWN,1
@_,AGY.L,Allergy Therapeutics plc,Healthcare,Drug Manufacturers Specialty & Generic,0.22,7.75 - 8.00,8.10 - 8.60,0.35 - 0.85,8.27,2021.77,246331,4,1.02,9
@_,AHT.L,Ashtead Group plc,Industrials,Rental & Leasing Services,3.00,5000.00 - 5000.00,5328.00 - 5328.00,328.00 - 328.00,5328.00,328.00,662424,5,1.084,1
@_,AIBG.L,AIB Group plc,Financial Services,Banks Regional,0.50,590.00 - 622.00,600.00 - 636.00,10.00 - 46.00,638.00,514.24,12885315,8,1.239,6
*_,AIE.L,Ashoka India Equity Investment Ord,Financial Services,Asset Management,1.00,267.50 - 267.50,270.48 - 273.00,2.98 - 5.50,263.00,152.64,826047,5,UNKNOWN,2
