I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk,Num of Trades
*_,0HD6.L,Alphabet Inc.,Communication Services,Internet Content & Information,0.67,204.51 - 204.90,207.08 - 207.26,2.57 - 2.75,203.24,178.32,70740,3,1.014,3
@_,0HLE.L,Banco Santander  S.A.,Financial Services,Banks Diversified,1.67,9.51 - 9.55,9.67 - 9.70,0.16 - 0.19,9.60,251.76,2021,1,1.297,3
*_,0R1O.L,UNKNOWN,Consumer Cyclical,Internet Retail,0.00,222.12 - 228.12,224.75 - 231.61,2.63 - 9.49,227.74,320.57,UNKNOWN,0,1.314,4
@_,0R2V.L,Apple Inc.,Technology,Consumer Electronics,0.00,190.00 - 190.00,225.87 - 225.87,35.87 - 35.87,228.07,932.62,463437,4,1.165,1
@_,0RIH.L,Alphabet Inc.,Communication Services,Internet Content & Information,0.33,202.09 - 203.86,206.01 - 206.16,3.92 - 4.07,202.41,205.44,179000,3,1.014,3
@_,1SN.L,First Tin Plc,Basic Materials,Other Industrial Metals & Mining,0.00,5.80 - 6.00,6.05 - 6.20,0.25 - 0.40,6.05,1130.58,143896,3,1.199,6
@_,3IN.L,3i Infrastructure Ord,Financial Services,Asset Management,0.00,349.79 - 349.79,353.50 - 353.50,3.71 - 3.71,352.00,51.94,629812,5,UNKNOWN,1
@_,4BB.L,4basebio PLC,Healthcare,Biotechnology,0.67,850.00 - 873.00,885.00 - 906.00,35.00 - 56.00,885.00,536.00,2591,1,1.008,3
@_,88E.L,88 Energy Limited,Energy,Oil & Gas E&P,1.00,1.10 - 1.17,1.17 - 1.20,0.07 - 0.10,1.17,1331.64,619760,5,1.135,6
*_,AAF.L,Airtel Africa Plc,Communication Services,Telecom Services,0.50,218.60 - 218.80,221.38 - 221.80,2.78 - 3.20,218.00,127.16,4036981,6,0.664,2
@_,AAIF.L,Aberdeen Asian Income Fund Limited,Financial Services,Asset Management,1.00,236.12 - 238.00,239.00 - 242.00,2.88 - 5.88,240.00,414.75,284931,4,UNKNOWN,6
@_,AAL.L,Anglo American plc,Basic Materials,Other Industrial Metals & Mining,0.40,2142.00 - 2176.00,2169.00 - 2204.10,27.00 - 62.10,2199.00,325.82,5920608,7,0.921,5
@_,AAS.L,abrdn Asia Focus plc,Financial Services,Asset Management,1.25,346.07 - 348.13,350.28 - 352.00,4.21 - 5.93,348.00,223.86,255989,4,UNKNOWN,4
*_,AAU.L,Ariana Resources plc,Basic Materials,Gold,0.10,1.64 - 1.70,1.71 - 1.80,0.07 - 0.16,1.60,3731.19,2560726,6,0.575,20
@_,AAZ.L,Anglo Asian Mining PLC,Basic Materials,Gold,0.07,155.00 - 166.25,162.00 - 170.00,7.00 - 15.00,173.45,2545.66,25935,2,0.926,14
@_,ABDN.L,Aberdeen Group Plc,Financial Services,Asset Management,1.25,193.70 - 197.70,195.80 - 200.80,2.10 - 7.10,200.40,251.25,2771173,6,1.32,4
*_,ABDP.L,AB Dynamics plc,Consumer Cyclical,Auto Parts,0.25,1418.00 - 1430.00,1445.00 - 1455.00,27.00 - 37.00,1370.00,307.20,32725,2,0.151,4
@_,ABDX.L,Abingdon Health Plc,Healthcare,Diagnostics & Research,0.00,5.66 - 5.76,6.00 - 6.50,0.33 - 0.84,6.00,1772.33,126554,3,0.241,5
@_,ABF.L,Associated British Foods plc,Consumer Defensive,Packaged Foods,4.00,2277.00 - 2310.64,2317.00 - 2345.00,40.00 - 68.00,2319.00,148.72,943568,5,1.192,2
