I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk,Num of Trades
*_,NVDA,NVIDIA Corporation,Technology,Semiconductors,0.67,178.70 - 181.41,182.16 - 183.79,3.46 - 5.09,174.97,218.97,154529960,10,2.145,3
*_,MSFT,Microsoft Corporation,Technology,Software Infrastructure,0.00,524.22 - 524.22,532.34 - 532.34,8.12 - 8.12,504.15,73.08,21087700,8,1.055,1
*_,AAPL,Apple Inc.,Technology,Consumer Electronics,0.00,227.40 - 231.90,230.24 - 234.47,2.84 - 7.07,224.91,192.57,55885620,9,1.165,3
*_,AMZN,Amazon.com  Inc.,Consumer Cyclical,Internet Retail,0.00,219.92 - 230.46,222.21 - 233.02,2.29 - 13.10,221.95,346.80,36336050,8,1.314,5
*_,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,0.67,201.53 - 203.62,204.13 - 206.93,2.60 - 5.40,200.62,192.48,17156160,8,1.014,3
*_,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,1.00,201.13 - 201.18,203.38 - 205.82,2.25 - 4.69,199.74,165.36,27527600,8,1.014,2
*_,META,Meta Platforms  Inc.,Communication Services,Internet Content & Information,0.50,778.11 - 781.65,793.47 - 794.90,15.35 - 16.79,738.98,171.66,10935530,8,1.273,2
*_,AVGO,Broadcom Inc.,Technology,Semiconductors,0.00,305.04 - 311.65,308.75 - 317.03,3.71 - 11.99,289.57,208.48,17176830,8,1.167,3
*_,TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,0.00,237.34 - 237.84,240.32 - 240.38,2.98 - 3.04,227.41,115.92,9940850,7,1.195,2
*_,TSLA,Tesla  Inc.,Consumer Cyclical,Auto Manufacturers,0.00,333.70 - 341.22,338.82 - 348.00,5.12 - 14.30,320.04,217.98,76015920,9,2.331,3
@_,JPM,JPMorgan Chase & Co.,Financial Services,Banks Diversified,0.00,287.57 - 287.62,290.59 - 292.46,3.02 - 4.89,291.40,133.62,6821500,7,1.107,2
*_,WMT,Walmart Inc.,Consumer Defensive,Discount Stores,2.50,100.86 - 101.33,102.52 - 102.58,1.66 - 1.72,97.96,142.59,18609550,8,UNKNOWN,2
@_,LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers General,0.50,635.70 - 707.65,643.09 - 714.97,7.39 - 79.27,709.82,695.45,7393770,7,0.436,10
*_,ORCL,Oracle Corporation,Technology,Software Infrastructure,0.00,230.71 - 252.52,233.26 - 255.34,2.55 - 24.63,233.11,351.73,10558180,8,1.431,5
@_,V,Visa Inc.,Financial Services,Credit Services,0.33,335.19 - 344.10,342.24 - 348.04,7.05 - 12.85,343.74,215.32,5470130,7,0.94,3
@_,MA,Mastercard Incorporated,Financial Services,Credit Services,1.25,572.60 - 585.53,579.05 - 592.51,6.46 - 19.91,591.98,240.00,2425740,6,1.029,4
*_,NFLX,Netflix  Inc.,Communication Services,Entertainment,1.00,1196.75 - 1234.27,1211.71 - 1246.92,14.96 - 50.17,1206.05,269.16,2828320,6,1.589,4
@_,XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,3.50,106.18 - 106.21,107.34 - 109.21,1.16 - 3.03,109.19,195.52,15331570,8,0.502,2
*_,COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,2.33,972.68 - 984.99,986.96 - 995.54,14.28 - 22.85,969.92,175.65,1999260,6,0.952,3
@_,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers General,1.25,172.07 - 176.79,174.07 - 180.22,2.00 - 8.15,179.02,271.92,8290450,7,0.399,4
@_,PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,2.33,154.47 - 157.76,156.57 - 160.74,2.09 - 6.27,158.68,232.54,6975900,7,0.373,3
*_,HD,The Home Depot  Inc.,Consumer Cyclical,Home Improvement Retail,1.25,390.83 - 402.14,395.23 - 412.99,4.40 - 22.16,397.75,355.32,3964720,6,1.0,4
*_,PLTR,Palantir Technologies Inc.,Technology,Software Infrastructure,0.00,182.49 - 185.68,184.35 - 188.97,1.87 - 6.49,156.15,186.25,85631040,9,2.597,3
