Ticker,Date,Signal,Price,Invested,Shares,Avg Price,Profit
MNMD,2025-07-16 11:30:00.000,Buy,8.28,4992.84,603,8.28,
MNMD,2025-07-21 10:30:00.000,Sell,9.99,4992.84,603,8.28,1031.13
MNMD,2025-07-23 12:30:00.000,Buy,9.57,4998.15,522,9.57,
MNMD,2025-07-24 13:30:00.000,Sell,9.79,4998.15,522,9.57,114.84
MAX,2025-07-16 11:30:00.000,Buy,10.19,4993.10,490,10.19,
MAX,2025-07-17 09:30:00.000,Sell,10.44,4993.10,490,10.19,122.50
MAX,2025-07-17 11:30:00.000,Buy,10.33,4999.72,484,10.33,
MAX,2025-07-17 15:30:00.000,Sell,10.46,4999.72,484,10.33,62.92
MAX,2025-07-18 14:30:00.000,Buy,10.34,4994.22,483,10.34,
MAX,2025-07-22 09:30:00.000,Sell,10.66,4994.22,483,10.34,154.56
MAX,2025-07-22 11:30:00.000,Buy,10.39,4997.59,481,10.39,
MAX,2025-07-24 15:30:00.000,Sell,10.85,4997.59,481,10.39,221.26
MAX,2025-07-25 11:30:00.000,Buy,10.92,4990.44,457,10.92,
NAGE,2025-07-16 10:30:00.000,Buy,10.99,4991.73,454,10.99,
NAGE,2025-07-16 13:30:00.000,Sell,11.43,4991.73,454,10.99,199.76
NAGE,2025-07-22 09:30:00.000,Buy,9.39,4995.48,532,9.39,
NAGE,2025-07-22 11:30:00.000,Sell,9.61,4995.48,532,9.39,117.04
NAGE,2025-07-22 15:30:00.000,Buy,9.46,4994.88,528,9.46,
TNGX,2025-07-16 11:30:00.000,Buy,5.98,4999.28,836,5.98,
TNGX,2025-07-17 14:30:00.000,Sell,6.87,4999.28,836,5.98,744.04
TNGX,2025-07-18 12:30:00.000,Buy,6.62,4998.10,755,6.62,
TNGX,2025-07-21 10:30:00.000,Sell,6.84,4998.10,755,6.62,166.10
TNGX,2025-07-21 14:30:00.000,Buy,6.66,4995.00,750,6.66,
TNGX,2025-07-21 15:30:00.000,Sell,6.77,4995.00,750,6.66,82.50
TNGX,2025-07-22 11:30:00.000,Buy,6.56,4998.72,762,6.56,
TNGX,2025-07-23 09:30:00.000,Sell,7.06,4998.72,762,6.56,381.00
TNGX,2025-07-23 15:30:00.000,Buy,6.89,4998.51,726,6.89,
CINT,2025-07-16 11:30:00.000,Buy,5.56,4998.44,899,5.56,
CINT,2025-07-16 14:30:00.000,Sell,5.66,4998.44,899,5.56,89.90
CINT,2025-07-18 13:30:00.000,Buy,5.53,4999.12,904,5.53,
CINT,2025-07-21 09:30:00.000,Sell,5.64,4999.12,904,5.53,99.44
CINT,2025-07-22 09:30:00.000,Buy,5.52,4995.60,905,5.52,
ADTN,2025-07-16 13:30:00.000,Buy,8.83,4997.84,566,8.83,
ADTN,2025-07-17 11:30:00.000,Sell,9.75,4997.84,566,8.83,520.72
ADTN,2025-07-21 11:30:00.000,Buy,9.16,4992.20,545,9.16,
ADTN,2025-07-22 13:30:00.000,Sell,9.52,4992.20,545,9.16,196.20
ADTN,2025-07-22 15:30:00.000,Buy,9.42,4992.60,530,9.42,
ADTN,2025-07-23 13:30:00.000,Sell,9.55,4992.60,530,9.42,68.90
ADTN,2025-07-25 10:30:00.000,Buy,9.17,4997.65,545,9.17,
SMWB,2025-07-16 12:30:00.000,Buy,8.27,4998.10,604,8.27,
SMWB,2025-07-17 15:30:00.000,Sell,8.46,4998.10,604,8.27,114.76
SMWB,2025-07-18 09:30:00.000,Buy,8.40,4998.00,595,8.40,
SMWB,2025-07-18 11:30:00.000,Sell,8.63,4998.00,595,8.40,136.85
SMWB,2025-07-18 13:30:00.000,Buy,8.59,4999.38,582,8.59,
SMWB,2025-07-21 13:30:00.000,Sell,8.91,4999.38,582,8.59,186.24
SMWB,2025-07-21 14:30:00.000,Buy,8.81,4995.27,567,8.81,
SMWB,2025-07-22 10:30:00.000,Sell,8.90,4995.27,567,8.81,51.03
SMWB,2025-07-22 11:30:00.000,Buy,8.85,4991.40,564,8.85,
SMWB,2025-07-23 10:30:00.000,Sell,9.14,4991.40,564,8.85,163.56
SMWB,2025-07-23 11:30:00.000,Buy,9.18,4993.92,544,9.18,
DAWN,2025-07-16 10:30:00.000,Buy,6.55,4997.65,763,6.55,
DAWN,2025-07-17 09:30:00.000,Sell,6.64,4997.65,763,6.55,68.67
DAWN,2025-07-17 11:30:00.000,Buy,6.52,4994.32,766,6.52,
DAWN,2025-07-23 10:30:00.000,Sell,6.92,4994.32,766,6.52,306.40
DAWN,2025-07-23 12:30:00.000,Buy,6.90,4995.38,724,6.90,
DAWN,2025-07-24 12:30:00.000,Sell,7.24,4995.38,724,6.90,246.16
DAWN,2025-07-25 09:30:00.000,Buy,7.12,4999.08,702,7.12,
DAWN,2025-07-25 11:30:00.000,Sell,7.27,4999.08,702,7.12,105.30
DAWN,2025-07-25 13:30:00.000,Buy,7.19,4997.05,695,7.19,
TYG,2025-07-17 12:30:00.000,Buy,42.65,4989.47,117,42.65,
TYG,2025-07-18 10:30:00.000,Sell,43.32,4989.47,117,42.65,78.39
TYG,2025-07-24 12:30:00.000,Buy,42.28,4988.45,118,42.28,
NBBK,2025-07-16 15:30:00.000,Buy,18.28,4990.44,273,18.28,
NBBK,2025-07-22 10:30:00.000,Sell,18.75,4990.44,273,18.28,128.31
NBBK,2025-07-23 12:30:00.000,Buy,17.96,4992.88,278,17.96,
NBBK,2025-07-24 11:30:00.000,Sell,19.35,4992.88,278,17.96,386.42
FCBC,2025-07-16 10:30:00.000,Buy,39.66,4997.16,126,39.66,
FCBC,2025-07-16 14:30:00.000,Sell,40.44,4997.16,126,39.66,98.28
FCBC,2025-07-16 15:30:00.000,Buy,40.37,4965.51,123,40.37,
FCBC,2025-07-17 14:30:00.000,Sell,40.86,4965.51,123,40.37,60.27
FCBC,2025-07-18 11:30:00.000,Buy,40.41,4970.43,123,40.41,
FCBC,2025-07-22 13:30:00.000,Sell,41.02,4970.43,123,40.41,75.03
FCBC,2025-07-23 11:30:00.000,Buy,39.44,4969.44,126,39.44,
FCBC,2025-07-23 13:30:00.000,Sell,40.17,4969.44,126,39.44,91.98
FCBC,2025-07-23 14:30:00.000,Buy,40.64,4998.72,123,40.64,
SMP,2025-07-16 10:30:00.000,Buy,32.08,4971.63,155,32.08,
SMP,2025-07-17 09:30:00.000,Sell,32.81,4971.63,155,32.08,113.15
SMP,2025-07-18 09:30:00.000,Buy,31.52,4980.95,158,31.52,
SMP,2025-07-23 11:30:00.000,Sell,33.03,4980.95,158,31.52,238.58
SMP,2025-07-25 12:30:00.000,Buy,32.64,4993.92,153,32.64,
SXC,2025-07-16 13:30:00.000,Buy,8.32,4995.00,600,8.32,
SXC,2025-07-18 11:30:00.000,Sell,8.56,4995.00,600,8.32,144.00
SXC,2025-07-18 14:30:00.000,Buy,8.40,4992.57,594,8.40,
SXC,2025-07-22 10:30:00.000,Sell,8.80,4992.57,594,8.40,237.60
SXC,2025-07-23 11:30:00.000,Buy,8.75,4996.25,571,8.75,
AHH,2025-07-16 11:30:00.000,Buy,7.04,4998.40,710,7.04,
AHH,2025-07-17 12:30:00.000,Sell,7.16,4998.40,710,7.04,85.20
AHH,2025-07-18 12:30:00.000,Buy,7.05,4994.91,709,7.05,
AHH,2025-07-21 09:30:00.000,Sell,7.16,4994.91,709,7.05,77.99
AHH,2025-07-21 15:30:00.000,Buy,7.01,4994.68,712,7.01,
AHH,2025-07-22 10:30:00.000,Sell,7.16,4994.68,712,7.01,106.80
AHH,2025-07-22 14:30:00.000,Buy,7.18,4993.80,696,7.18,
EYPT,2025-07-16 10:30:00.000,Buy,9.99,4995.00,500,9.99,
EYPT,2025-07-16 14:30:00.000,Sell,10.10,4995.00,500,9.99,55.00
EYPT,2025-07-16 15:30:00.000,Buy,10.05,4994.85,497,10.05,
EYPT,2025-07-17 09:30:00.000,Sell,10.53,4994.85,497,10.05,238.56
EYPT,2025-07-17 11:30:00.000,Buy,10.30,4995.50,485,10.30,
EYPT,2025-07-18 10:30:00.000,Sell,10.62,4995.50,485,10.30,155.20
EYPT,2025-07-18 11:30:00.000,Buy,10.45,4997.49,478,10.45,
EYPT,2025-07-21 13:30:00.000,Sell,10.70,4997.49,478,10.45,119.50
EYPT,2025-07-21 15:30:00.000,Buy,10.53,4991.22,474,10.53,
EYPT,2025-07-23 15:30:00.000,Sell,10.70,4991.22,474,10.53,80.58
EYPT,2025-07-24 10:30:00.000,Buy,10.45,4995.10,478,10.45,
EYPT,2025-07-24 14:30:00.000,Sell,10.59,4995.10,478,10.45,66.92
EYPT,2025-07-24 15:30:00.000,Buy,10.49,4993.24,476,10.49,
RYI,2025-07-16 13:30:00.000,Buy,22.54,4981.34,221,22.54,
RYI,2025-07-23 15:30:00.000,Sell,24.56,4981.34,221,22.54,446.42
RYI,2025-07-25 10:30:00.000,Buy,22.11,4996.86,226,22.11,
RYI,2025-07-25 12:30:00.000,Sell,22.62,4996.86,226,22.11,115.26
MAZE,2025-07-16 10:30:00.000,Buy,16.12,4997.20,310,16.12,
MAZE,2025-07-17 09:30:00.000,Sell,16.42,4997.20,310,16.12,93.00
MAZE,2025-07-18 09:30:00.000,Buy,16.93,4994.35,295,16.93,
MAZE,2025-07-18 15:30:00.000,Sell,17.83,4994.35,295,16.93,265.50
MAZE,2025-07-22 10:30:00.000,Buy,16.51,4986.02,302,16.51,
MAZE,2025-07-23 11:30:00.000,Sell,18.53,4986.02,302,16.51,610.04
MAZE,2025-07-24 12:30:00.000,Buy,16.49,4994.96,303,16.49,
MAZE,2025-07-25 10:30:00.000,Sell,16.92,4994.96,303,16.49,130.29
MAZE,2025-07-25 13:30:00.000,Buy,16.92,4992.87,295,16.92,
IRMD,2025-07-16 10:30:00.000,Buy,57.32,4986.84,87,57.32,
IRMD,2025-07-17 09:30:00.000,Sell,57.94,4986.84,87,57.32,53.94
IRMD,2025-07-21 15:30:00.000,Buy,56.13,4995.57,89,56.13,
IRMD,2025-07-23 09:30:00.000,Sell,57.00,4995.57,89,56.13,77.43
IRMD,2025-07-24 12:30:00.000,Buy,56.52,4973.76,88,56.52,
BDN,2025-07-18 11:30:00.000,Buy,4.18,4999.28,1196,4.18,
BDN,2025-07-23 11:30:00.000,Sell,4.30,4999.28,1196,4.18,143.52
BDN,2025-07-23 13:30:00.000,Buy,4.26,4996.98,1173,4.26,
BDN,2025-07-23 15:30:00.000,Sell,4.35,4996.98,1173,4.26,105.57
BDN,2025-07-25 14:30:00.000,Buy,4.07,4997.96,1228,4.07,
LINC,2025-07-17 10:30:00.000,Buy,22.77,4986.63,219,22.77,
LINC,2025-07-18 11:30:00.000,Sell,23.28,4986.63,219,22.77,111.69
LINC,2025-07-23 09:30:00.000,Buy,21.85,4981.46,228,21.85,
